First Name,Last Name,Job Title,Institution
Paige,Andrew,Maps Cataloging Librarian,Penn State
Linda,Ballinger,Metadata Strategist,Penn State
Mara,Blake,Spatial & Numeric Data Librarian,Michigan
Sam,Brown,Map Collection Manager,Chicago
Adonna,Fleming,Professor,Nebraska
Taylor,Hixson,Resident Librarian for GIS,Chicago
Jae Sung ,Kim,Open Source Geospatial Analyst,Penn State
Nicole,Kong,GIS Specialist,Purdue
Jennifer,Liss,Monographic Image Cataloging Librarian,Indiana
Kelley,O'Neal,GIS Geography and Maps Librarian,Maryland
Bria,Parker,Metadata Librarian,Maryland
Nathan,Piekielek,Geospatial Services Librarian,Penn State
Rob,Shepard,GIS Specialist,Iowa
Amanda,Tickner,GIS Specialist,Michigan State
Andrea,Twiss-Brooks,Director of Research and Teaching Support,Chicago
Tim,Utter,Manager Clark Library,Michigan
James,Whitacre,GIS Specialist,Illinois
AJ,Wortley,State Outreach Specialist,Wisconsin